seq.pos	node.id	node.offset	coverage
0	1	0	0
1	1	1	0
2	1	2	0
3	1	3	0
4	1	4	0
5	1	5	0
6	1	6	0
7	1	7	0
8	1	8	0
9	1	9	0
10	1	10	0
11	1	11	0
12	1	12	0
13	1	13	0
14	1	14	0
15	1	15	0
16	1	16	0
17	1	17	0
18	1	18	0
19	1	19	0
20	1	20	0
21	1	21	0
22	1	22	0
23	1	23	0
24	1	24	0
25	1	25	0
26	1	26	0
27	1	27	0
28	1	28	0
29	1	29	0
30	1	30	0
31	2	0	0
32	3	0	0
33	3	1	0
34	3	2	0
35	3	3	0
36	3	4	0
37	3	5	0
38	3	6	0
39	3	7	0
40	3	8	0
41	3	9	0
42	4	0	0
43	4	1	0
44	4	2	0
45	4	3	0
46	4	4	0
47	4	5	0
48	4	6	0
49	4	7	0
50	4	8	0
51	4	9	0
52	4	10	0
53	4	11	0
54	4	12	0
55	5	0	0
56	6	0	0
57	6	1	0
58	6	2	0
59	6	3	0
60	6	4	0
61	6	5	0
62	6	6	0
63	6	7	0
64	6	8	0
65	6	9	0
66	6	10	0
67	6	11	0
68	6	12	0
69	6	13	0
70	6	14	0
71	6	15	0
72	6	16	0
73	6	17	0
74	6	18	0
75	6	19	0
76	6	20	0
77	6	21	0
78	6	22	0
79	6	23	0
80	6	24	1
81	6	25	0
82	6	26	0
83	6	27	0
84	6	28	1
85	6	29	0
86	6	30	0
87	6	31	0
88	6	32	0
89	6	33	1
90	7	0	0
91	8	0	0
92	8	1	0
93	9	0	1
94	10	0	0
95	11	0	1
96	11	1	0
97	11	2	0
98	11	3	0
99	11	4	0
100	11	5	0
101	11	6	0
102	11	7	0
103	11	8	0
104	11	9	0
105	11	10	0
106	11	11	1
107	11	12	0
108	11	13	0
109	11	14	0
110	11	15	0
111	11	16	0
112	12	0	0
113	12	1	0
114	13	0	0
115	14	0	0
116	15	0	0
117	15	1	1
118	15	2	0
119	15	3	0
120	15	4	0
121	15	5	0
122	15	6	0
123	15	7	0
124	15	8	0
125	15	9	0
126	15	10	0
127	15	11	0
128	15	12	0
129	15	13	0
130	15	14	0
131	15	15	0
132	15	16	0
133	15	17	0
134	15	18	0
135	15	19	0
136	15	20	0
137	15	21	0
138	15	22	0
139	15	23	0
140	15	24	0
141	15	25	0
142	15	26	0
143	15	27	0
144	15	28	0
145	15	29	0
146	15	30	0
147	15	31	0
148	15	32	0
149	15	33	0
150	15	34	0
151	15	35	0
152	15	36	0
153	15	37	0
154	16	0	0
155	17	0	0
